啊	ɑ
刘	liɤ⁵³
浏	liɤ⁵³
流	liɤ⁵³
留	liɤ⁵³
琉	liɤ⁵³
硫	liɤ⁵³
旒	liɤ⁵³
遛	liɤ⁵³
馏	liɤ⁵³
骝	liɤ⁵³
榴	liɤ⁵³
瘤	liɤ⁵³
镏	liɤ⁵³
疁	liɤ⁵³
鎏	liɤ⁵³
柳	liɤ²³
绺	liɤ²³
锍	liɤ²³
鹨	liɤ⁵³
砬	liɪˀ¹²
力	liɪˀ¹²
历	liɪˀ¹²
立	liɪˀ¹²
呖	liɪˀ¹²
坜	liɪˀ¹²
沥	liɪˀ¹²
苈	liɪˀ¹²
枥	liɪˀ¹²
栎	liɪˀ¹²
疬	liɪˀ¹²
轹	liɪˀ¹²
栗	liɪˀ¹²
砾	liɪˀ¹²
莅	liɪˀ¹²
笠	liɪˀ¹²
粒	liɪˀ¹²
傈	liɪˀ¹²
跞	liɪˀ¹²
雳	liɪˀ¹²
溧	liɪˀ¹²
篥	liɪˀ¹²
咧	liɪˀ¹²
列	liɪˀ¹²
劣	liɪˀ¹²
冽	liɪˀ¹²
洌	liɪˀ¹²
埒	liɪˀ¹²
烈	liɪˀ¹²
捩	liɪˀ¹²
裂	liɪˀ¹²
趔	liɪˀ¹²
躐	liɪˀ¹²
律	liɪˀ¹²
率	liɪˀ¹²
锊	liɪˀ¹²
僳	liɪˀ¹²
悝	li²³
泪	li³⁴
厘	li⁵³
梨	li⁵³
狸	li⁵³
离	li⁵³
莉	li⁵³
骊	li⁵³
犁	li⁵³
喱	li⁵³
鹂	li⁵³
漓	li⁵³
缡	li⁵³
蓠	li⁵³
蜊	li⁵³
嫠	li⁵³
璃	li⁵³
鲡	li⁵³
黎	li⁵³
篱	li⁵³
罹	li⁵³
藜	li⁵³
黧	li⁵³
蠡	li²³
礼	li²³
李	li²³
里	li²³
俚	li²³
哩	li
娌	li²³
逦	li²³
理	li²³
锂	li²³
鲤	li²³
澧	li²³
醴	li²³
鳢	li²³
厉	li³⁴
吏	li³⁴
丽	li³⁴
利	li³⁴
励	li³⁴
例	li³⁴
戾	li³⁴
疠	li³⁴
俐	li³⁴
俪	li³⁴
荔	li³⁴
郦	li⁵³
猁	li³⁴
砺	li³⁴
唳	li³⁴
粝	li³⁴
蛎	li³⁴
痢	li³⁴
詈	li³⁴
捩	li³⁴
吕	li²³
旅	li²³
稆	li²³
履	li²³
〇	lin⁵³
邻	lin⁵³
林	lin⁵³
临	lin⁵³
啉	lin⁵³
淋	lin⁵³
琳	lin⁵³
粼	lin⁵³
嶙	lin⁵³
遴	lin⁵³
辚	lin⁵³
霖	lin⁵³
瞵	lin⁵³
磷	lin⁵³
鳞	lin⁵³
麟	lin⁵³
凛	lin²³
廪	lin²³
懔	lin²³
檩	lin²³
吝	lin³⁴
蔺	lin³⁴
躏	lin³⁴
伶	lin⁵³
灵	lin⁵³
囹	lin⁵³
岭	lin⁵³
泠	lin⁵³
苓	lin⁵³
柃	lin⁵³
玲	lin⁵³
瓴	lin⁵³
凌	lin⁵³
铃	lin⁵³
陵	lin⁵³
鸰	lin⁵³
棂	lin⁵³
绫	lin⁵³
羚	lin⁵³
翎	lin⁵³
聆	lin⁵³
菱	lin⁵³
蛉	lin⁵³
零	lin⁵³
龄	lin⁵³
鲮	lin⁵³
酃	lin⁵³
领	lin²³
令	lin⁵³
令	lin³⁴
另	lin³⁴
呤	lin⁵³
龙	loŋ⁵³
咙	loŋ⁵³
泷	loŋ⁵³
茏	loŋ⁵³
栊	loŋ⁵³
珑	loŋ⁵³
胧	loŋ⁵³
砻	loŋ⁵³
笼	loŋ²³
笼	loŋ⁵³
聋	loŋ⁵³
隆	loŋ⁵³
癃	loŋ⁵³
窿	loŋ⁵³
陇	loŋ²³
垄	loŋ²³
垅	loŋ²³
拢	loŋ²³
弄	loŋ³⁴
硌	loˀ¹²
烙	loˀ¹²
酪	loˀ¹²
乐	loˀ¹²
跞	loˀ¹²
六	loˀ¹²
咯	loˀ¹²
甪	loˀ¹²
陆	loˀ¹²
录	loˀ¹²
渌	loˀ¹²
逯	loˀ¹²
鹿	loˀ¹²
禄	loˀ¹²
盝	loˀ¹²
碌	loˀ¹²
漉	loˀ¹²
戮	loˀ¹²
熝	loˀ¹²
踛	loˀ¹²
辘	loˀ¹²
簏	loˀ¹²
蹗	loˀ¹²
麓	loˀ¹²
绿	loˀ¹²
氯	loˀ¹²
泺	loˀ¹²
洛	loˀ¹²
络	loˀ¹²
荦	loˀ¹²
骆	loˀ¹²
珞	loˀ¹²
落	loˀ¹²
雒	loˀ¹²
露	lu³⁴
噜	lu²³
撸	lu²³
卢	lu⁵³
庐	lu⁵³
芦	lu⁵³
垆	lu⁵³
泸	lu⁵³
炉	lu⁵³
栌	lu⁵³
胪	lu⁵³
轳	lu⁵³
鸬	lu⁵³
舻	lu⁵³
颅	lu⁵³
鲈	lu⁵³
卤	lu²³
虏	lu²³
掳	lu²³
鲁	lu²³
橹	lu²³
镥	lu²³
赂	lu³⁴
辂	lu³⁴
路	lu³⁴
潞	lu³⁴
璐	lu³⁴
鹭	lu³⁴
氇	lu²³
驴	lu⁵³
卵	lu²³
罗	lu⁵³
啰	lu⁵³
猡	lu⁵³
脶	lu⁵³
萝	lu⁵³
逻	lu⁵³
椤	lu⁵³
锣	lu⁵³
箩	lu⁵³
骡	lu⁵³
镙	lu⁵³
螺	lu⁵³
倮	lu²³
裸	lu²³
瘰	lu²³
蠃	lu²³
摞	lu³⁴
呒	m̩⁵³
亩	m̩²³
姆	m̩²³
无	m̩⁵³
邙	mɑ̃⁵³
忙	mɑ̃⁵³
芒	mɑ̃⁵³
杧	mɑ̃⁵³
盲	mɑ̃⁵³
茫	mɑ̃⁵³
硭	mɑ̃⁵³
莽	mɑ̃²³
漭	mɑ̃²³
蟒	mɑ̃²³
氓	mɑ̃⁵³
梦	mɑ̃³⁴
亡	mɑ̃⁵³
网	mɑ̃²³
罔	mɑ̃²³
魍	mɑ̃²³
忘	mɑ̃³⁴
望	mɑ̃³⁴
瑁	mɛ³⁴
枚	mɛ⁵³
玫	mɛ⁵³
莓	mɛ⁵³
梅	mɛ⁵³
媒	mɛ⁵³
楣	mɛ⁵³
煤	mɛ⁵³
酶	mɛ⁵³
镅	mɛ⁵³
霉	mɛ⁵³
每	mɛ²³
美	mɛ²³
浼	mɛ²³
镁	mɛ²³
妹	mɛ³⁴
昧	mɛ³⁴
袂	mɛ³⁴
媚	mɛ³⁴
寐	mɛ³⁴
魅	mɛ³⁴
谜	mɛ⁵³
咩	mɛ⁵³
没	məˀ¹²
嚜	məˀ¹²
抹	məˀ¹²
末	məˀ¹²
殁	məˀ¹²
沫	məˀ¹²
茉	məˀ¹²
秣	məˀ¹²
墨	məˀ¹²
默	məˀ¹²
猫	mɔ⁵³
毛	mɔ⁵³
牦	mɔ⁵³
茅	mɔ⁵³
旄	mɔ⁵³
锚	mɔ⁵³
髦	mɔ⁵³
卯	mɔ²³
峁	mɔ²³
泖	mɔ²³
茆	mɔ²³
昴	mɔ²³
铆	mɔ²³
冒	mɔ³⁴
耄	mɔ³⁴
帽	mɔ³⁴
瑁	mɔ³⁴
貌	mɔ³⁴
颟	mø⁵³
馒	mø⁵³
瞒	mø⁵³
鞔	mø⁵³
鳗	mø⁵³
满	mø²³
螨	mø²³
曼	mø³⁴
墁	mø³⁴
幔	mø³⁴
漫	mø³⁴
缦	mø³⁴
熳	mø³⁴
镘	mø³⁴
矛	mɤ⁵³
蛑	mɤ⁵³
蝥	mɤ⁵³
蟊	mɤ⁵³
茂	mɤ³⁴
贸	mɤ³⁴
袤	mɤ³⁴
瞀	mɤ³⁴
懋	mɤ³⁴
缪	mɤ⁵³
哞	mɤ⁵³
牟	mɤ⁵³
侔	mɤ⁵³
眸	mɤ⁵³
谋	mɤ⁵³
某	mɤ²³
毪	mɤ⁵³
牡	mɤ²³
门	məŋ⁵³
扪	məŋ⁵³
钔	məŋ⁵³
闷	məŋ⁵³
闷	məŋ³⁴
懑	məŋ³⁴
们	məŋ⁵³
萌	məŋ⁵³
盟	məŋ⁵³
闻	məŋ⁵³
蚊	məŋ⁵³
问	məŋ³⁴
唛	mɑˀ¹²
麦	mɑˀ¹²
脉	mɑˀ¹²
陌	mɑˀ¹²
蓦	mɑˀ¹²
貊	mɑˀ¹²
貘	mɑˀ¹²
袜	mɑˀ¹²
吗	mɑ
嘛	mɑ
埋	mɑ⁵³
霾	mɑ⁵³
买	mɑ²³
荬	mɑ²³
劢	mɑ³⁴
迈	mɑ³⁴
卖	mɑ³⁴
喵	miɔ⁵³
苗	miɔ⁵³
描	miɔ⁵³
瞄	miɔ⁵³
鹋	miɔ⁵³
杪	miɔ²³
眇	miɔ²³
秒	miɔ²³
淼	miɔ²³
渺	miɔ²³
缈	miɔ²³
藐	miɔ²³
妙	miɔ³⁴
庙	miɔ³⁴
缪	miɔ³⁴
民	min⁵³
岷	min⁵³
旻	min²³
玟	min⁵³
苠	min⁵³
珉	min⁵³
缗	min⁵³
皿	min²³
闵	min²³
抿	min²³
泯	min²³
闽	min²³
悯	min²³
敏	min²³
愍	min²³
鳘	min²³
名	min⁵³
明	min⁵³
鸣	min⁵³
茗	min⁵³
冥	min⁵³
铭	min⁵³
溟	min⁵³
暝	min⁵³
瞑	min⁵³
螟	min⁵³
酩	min²³
命	min³⁴
吻	min²³
脗	min²³
汶	min⁵³
眉	mi⁵³
嵋	mi⁵³
湄	mi⁵³
猸	mi⁵³
鹛	mi⁵³
咪	mi⁵³
弥	mi⁵³
迷	mi⁵³
猕	mi⁵³
谜	mi⁵³
醚	mi⁵³
糜	mi⁵³
縻	mi⁵³
麋	mi⁵³
靡	mi²³
蘼	mi⁵³
米	mi²³
芈	mi²³
弭	mi²³
敉	mi²³
脒	mi²³
咩	mi²³
微	mi⁵³
尾	mi²³
未	mi³⁴
味	mi³⁴
冂	miɪˀ¹²
冖	miɪˀ¹²
糸	miɪˀ¹²
汨	miɪˀ¹²
宓	miɪˀ¹²
觅	miɪˀ¹²
密	miɪˀ¹²
幂	miɪˀ¹²
谧	miɪˀ¹²
嘧	miɪˀ¹²
蜜	miɪˀ¹²
灭	miɪˀ¹²
搣	miɪˀ¹²
蔑	miɪˀ¹²
篾	miɪˀ¹²
蠛	miɪˀ¹²
宀	mi⁵³
眠	mi⁵³
绵	mi⁵³
棉	mi⁵³
免	mi²³
沔	mi²³
黾	mi²³
勉	mi²³
眄	mi²³
娩	mi²³
冕	mi²³
湎	mi²³
缅	mi²³
面	mi³⁴
么	moˀ¹²
邈	moˀ¹²
摸	moˀ¹²
膜	moˀ¹²
莫	moˀ¹²
寞	moˀ¹²
漠	moˀ¹²
瘼	moˀ¹²
镆	moˀ¹²
木	moˀ¹²
目	moˀ¹²
沐	moˀ¹²
坶	moˀ¹²
牧	moˀ¹²
苜	moˀ¹²
钼	moˀ¹²
睦	moˀ¹²
穆	moˀ¹²
瞢	moŋ⁵³
朦	moŋ⁵³
檬	moŋ⁵³
礞	moŋ⁵³
艨	moŋ⁵³
蒙	moŋ⁵³
懵	moŋ²³
蠓	moŋ²³
梦	moŋ³⁴
麻	mo⁵³
蟆	mo⁵³
马	mo²³
犸	mo²³
玛	mo²³
码	mo²³
蚂	mo²³
杩	mo³⁴
骂	mo³⁴
吗	mo²³
嘛	mo⁵³
无	mo⁵³
嬷	mu²³
谟	mu⁵³
嫫	mu⁵³
馍	mu⁵³
摹	mu⁵³
模	mu⁵³
麽	mu²³
摩	mu⁵³
磨	mu⁵³
蘑	mu⁵³
魔	mu⁵³
耱	mu⁵³
母	mu²³
姆	mu²³
拇	mu²³
仫	mu³⁴
募	mu³⁴
墓	mu³⁴
幕	mu³⁴
慕	mu³⁴
暮	mu³⁴
囔	nɑ̃⁵³
囊	nɑ̃⁵³
馕	nɑ̃⁵³
曩	nɑ̃²³
攮	nɑ̃²³
瓤	nɑ̃⁵³
捺	nɑˀ¹²
疒	nɑˀ¹²
搦	nɑˀ¹²
纳	nɑˀ¹²
肭	nɑˀ¹²
衲	nɑˀ¹²
钠	nɑˀ¹²
讷	nɑˀ¹²
呐	nɑˀ¹²
囝	nø⁵³
囡	nø³⁴
男	nø⁵³
南	nø⁵³
喃	nø⁵³
楠	nø⁵³
腩	nø²³
蝻	nø⁵³
暖	nø²³
孬	nɔ⁵³
呶	nɔ⁵³
挠	nɔ⁵³
硇	nɔ⁵³
铙	nɔ⁵³
猱	nɔ⁵³
垴	nɔ²³
恼	nɔ²³
脑	nɔ²³
瑙	nɔ²³
闹	nɔ³⁴
淖	nɔ³⁴
佴	nɛ³⁴
内	nɛ³⁴
乃	nɛ²³
氖	nɛ²³
倷	nɛ²³
奈	nɛ³⁴
耐	nɛ³⁴
萘	nɛ³⁴
鼐	nɛ³⁴
馁	nɛ²³
嫩	nəŋ³⁴
能	nəŋ⁵³
镎	nɑ⁵³
那	nɑ³⁴
奶	nɑ²³
艿	nɑ²³
柰	nɑ³⁴
南	nɑ⁵³
农	noŋ⁵³
侬	noŋ⁵³
哝	noŋ⁵³
脓	noŋ⁵³
拿	no⁵³
诺	noˀ¹²
喏	noˀ¹²
搦	noˀ¹²
锘	noˀ¹²
娜	nu⁵³
奴	nu⁵³
孥	nu⁵³
驽	nu⁵³
努	nu²³
弩	nu²³
胬	nu²³
怒	nu³⁴
挪	nu⁵³
傩	nu⁵³
懦	nu³⁴
糯	nu³⁴
挼	nu⁵³
帑	nu⁵³
吘	ŋ²³
吴	ŋ⁵³
吾	ŋ⁵³
唔	ŋ⁵³
五	ŋ²³
午	ŋ²³
忤	ŋ²³
迕	ŋ²³
俉	ŋ³⁴
鱼	ŋ⁵³
犴	ŋø³⁴
岸	ŋø³⁴
顸	ŋø³⁴
癌	ŋɛ⁵³
啱	ŋɛ⁵³
岩	ŋɛ⁵³
颜	ŋɛ⁵³
眼	ŋɛ²³
雁	ŋɛ³⁴
赝	ŋɛ³⁴
硬	ŋɑ̃³⁴
额	ŋəˀ¹²
捱	ŋɑ³⁴
外	ŋɑ³⁴
牙	ŋɑ⁵³
伢	ŋɑ⁵³
芽	ŋɑ⁵³
蚜	ŋɑ⁵³
崖	ŋɑ⁵³
涯	ŋɑ⁵³
睚	ŋɑ⁵³
衙	ŋɑ⁵³
讶	ŋɑ³⁴
迓	ŋɑ³⁴
砑	ŋɑ³⁴
敖	ŋɔ⁵³
嗷	ŋɔ⁵³
廒	ŋɔ⁵³
獒	ŋɔ⁵³
遨	ŋɔ⁵³
熬	ŋɔ⁵³
翱	ŋɔ⁵³
聱	ŋɔ⁵³
螯	ŋɔ⁵³
鳌	ŋɔ⁵³
傲	ŋɔ³⁴
骜	ŋɔ⁵³
鏊	ŋɔ³⁴
咬	ŋɔ²³
偶	ŋɤ²³
耦	ŋɤ²³
藕	ŋɤ²³
瓦	ŋo²³
佤	ŋo²³
谔	ŋoˀ¹²
鄂	ŋoˀ¹²
愕	ŋoˀ¹²
萼	ŋoˀ¹²
腭	ŋoˀ¹²
锷	ŋoˀ¹²
鹗	ŋoˀ¹²
颚	ŋoˀ¹²
噩	ŋoˀ¹²
鳄	ŋoˀ¹²
鹤	ŋoˀ¹²
岳	ŋoˀ¹²
讹	ŋu⁵³
俄	ŋu⁵³
娥	ŋu⁵³
峨	ŋu⁵³
莪	ŋu⁵³
锇	ŋu⁵³
鹅	ŋu⁵³
蛾	ŋu⁵³
饿	ŋu³⁴
哦	ŋu⁵³
我	ŋu²³
卧	ŋu³⁴
硪	ŋu⁵³
吾	ŋu⁵³
梧	ŋu⁵³
浯	ŋu⁵³
蜈	ŋu⁵³
鼯	ŋu⁵³
牾	ŋu³⁴
误	ŋu³⁴
悟	ŋu³⁴
晤	ŋu³⁴
痦	ŋu²³
寤	ŋu³⁴
浓	ɲioŋ⁵³
狨	ɲioŋ⁵³
绒	ɲioŋ⁵³
茸	ɲioŋ⁵³
冗	ɲioŋ²³
喁	ɲioŋ⁵³
艾	ɲi³⁴
儿	ɲi⁵³
鸸	ɲi⁵³
鲕	ɲi⁵³
耳	ɲi³⁴
二	ɲi³⁴
佴	ɲi³⁴
贰	ɲi³⁴
祢	ɲi²³
呢	ɲi
妮	ɲi⁵³
尼	ɲi⁵³
坭	ɲi⁵³
怩	ɲi⁵³
泥	ɲi⁵³
倪	ɲi⁵³
猊	ɲi⁵³
霓	ɲi⁵³
鲵	ɲi⁵³
伲	ɲi²³
你	ɲi²³
拟	ɲi²³
抳	ɲi²³
旎	ɲi⁵³
睨	ɲi³⁴
腻	ɲi³⁴
尾	ɲi²³
仪	ɲi⁵³
沂	ɲi⁵³
宜	ɲi⁵³
疑	ɲi⁵³
嶷	ɲi⁵³
舣	ɲi²³
蚁	ɲi²³
义	ɲi³⁴
刈	ɲi³⁴
艺	ɲi³⁴
议	ɲi³⁴
呓	ɲi³⁴
诣	ɲi³⁴
羿	ɲi³⁴
谊	ɲi³⁴
毅	ɲi³⁴
劓	ɲi³⁴
圪	ɲiɪˀ¹²
岌	ɲiɪˀ¹²
昵	ɲiɪˀ¹²
逆	ɲiɪˀ¹²
匿	ɲiɪˀ¹²
溺	ɲiɪˀ¹²
陧	ɲiɪˀ¹²
涅	ɲiɪˀ¹²
聂	ɲiɪˀ¹²
臬	ɲiɪˀ¹²
啮	ɲiɪˀ¹²
嗫	ɲiɪˀ¹²
镊	ɲiɪˀ¹²
镍	ɲiɪˀ¹²
颞	ɲiɪˀ¹²
蹑	ɲiɪˀ¹²
孽	ɲiɪˀ¹²
蘖	ɲiɪˀ¹²
热	ɲiɪˀ¹²
日	ɲiɪˀ¹²
入	ɲiɪˀ¹²
业	ɲiɪˀ¹²
邺	ɲiɪˀ¹²
仡	ɲiɪˀ¹²
屹	ɲiɪˀ¹²
侥	ɲiɔ⁵³
蛲	ɲiɔ⁵³
鸟	ɲiɔ²³
袅	ɲiɔ²³
嬲	ɲiɔ²³
尿	ɲiɔ³⁴
脲	ɲiɔ³⁴
荛	ɲiɔ⁵³
饶	ɲiɔ⁵³
桡	ɲiɔ⁵³
娆	ɲiɔ²³
绕	ɲiɔ³⁴
尧	ɲiɔ⁵³
娘	ɲiɑ̃⁵³
孃	ɲiɑ̃⁵³
酿	ɲiɑ̃³⁴
禳	ɲiɑ̃⁵³
穰	ɲiɑ̃⁵³
嚷	ɲiɑ̃²³
壤	ɲiɑ̃²³
攘	ɲiɑ̃²³
让	ɲiɑ̃³⁴
仰	ɲiɑ̃²³
赁	ɲiɲ³⁴
宁	ɲiɲ⁵³
咛	ɲiɲ⁵³
拧	ɲiɲ⁵³
狞	ɲiɲ⁵³
柠	ɲiɲ⁵³
聍	ɲiɲ⁵³
凝	ɲiɲ⁵³
佞	ɲiɲ³⁴
泞	ɲiɲ⁵³
甯	ɲiɲ⁵³
甯	ɲiɲ³⁴
圻	ɲiɲ⁵³
人	ɲiɲ⁵³
亻	ɲiɲ⁵³
仁	ɲiɲ⁵³
壬	ɲiɲ⁵³
忍	ɲiɲ²³
认	ɲiɲ³⁴
仞	ɲiɲ³⁴
任	ɲiɲ⁵³
妊	ɲiɲ³⁴
韧	ɲiɲ³⁴
饪	ɲiɲ²³
恁	ɲiɲ²³
仍	ɲiɲ⁵³
闰	ɲiɲ³⁴
吟	ɲiɲ⁵³
垠	ɲiɲ⁵³
狺	ɲiɲ⁵³
银	ɲiɲ⁵³
鄞	ɲiɲ⁵³
龈	ɲiɲ⁵³
迎	ɲiɲ⁵³
妞	ɲiɤ⁵³
牛	ɲiɤ⁵³
扭	ɲiɤ²³
狃	ɲiɤ²³
纽	ɲiɤ²³
钮	ɲiɤ²³
揉	ɲiɤ⁵³
女	ɲy²³
钕	ɲy²³
蚋	ɲy³⁴
禺	ɲy⁵³
娱	ɲy⁵³
隅	ɲy⁵³
愚	ɲy⁵³
虞	ɲy⁵³
俣	ɲy²³
语	ɲy²³
圄	ɲy²³
圉	ɲy²³
龉	ɲy²³
驭	ɲy³⁴
寓	ɲy³⁴
御	ɲy³⁴
遇	ɲy³⁴
圪	ɲiɪˀ¹²
岌	ɲiɪˀ¹²
昵	ɲiɪˀ¹²
逆	ɲiɪˀ¹²
匿	ɲiɪˀ¹²
溺	ɲiɪˀ¹²
陧	ɲiɪˀ¹²
涅	ɲiɪˀ¹²
聂	ɲiɪˀ¹²
臬	ɲiɪˀ¹²
啮	ɲiɪˀ¹²
嗫	ɲiɪˀ¹²
镊	ɲiɪˀ¹²
镍	ɲiɪˀ¹²
颞	ɲiɪˀ¹²
蹑	ɲiɪˀ¹²
孽	ɲiɪˀ¹²
蘖	ɲiɪˀ¹²
热	ɲiɪˀ¹²
日	ɲiɪˀ¹²
业	ɲiɪˀ¹²
邺	ɲiɪˀ¹²
仡	ɲiɪˀ¹²
屹	ɲiɪˀ¹²
垩	oˀ⁵⁵
恶	oˀ⁵⁵
鹱	oˀ⁵⁵
蠖	oˀ⁵⁵
喔	oˀ⁵⁵
沃	oˀ⁵⁵
幄	oˀ⁵⁵
握	oˀ⁵⁵
渥	oˀ⁵⁵
龌	oˀ⁵⁵
屋	oˀ⁵⁵
鋈	oˀ⁵⁵
凹	ɔ⁵³
坳	ɔ³⁴
爊	ɔ⁵³
鏖	ɔ⁵³
拗	ɔ²³
袄	ɔ²³
媪	ɔ²³
岙	ɔ³⁴
奥	ɔ³⁴
澳	ɔ³⁴
懊	ɔ³⁴
噢	ɔ
八	pɑˀ⁵⁵
叭	pɑˀ⁵⁵
朳	pɑˀ⁵⁵
捌	pɑˀ⁵⁵
掰	pɑˀ⁵⁵
百	pɑˀ⁵⁵
佰	pɑˀ⁵⁵
柏	pɑˀ⁵⁵
伯	pɑˀ⁵⁵
擘	pɑˀ⁵⁵
檗	pɑˀ⁵⁵
迫	pɑˀ⁵⁵
邦	pɑ̃⁵³
帮	pɑ̃⁵³
梆	pɑ̃⁵³
绑	pɑ̃²³
榜	pɑ̃²³
膀	pɑ̃²³
谤	pɑ̃³⁴
蒡	pɑ̃²³
勹	pɔ⁵³
包	pɔ⁵³
孢	pɔ⁵³
苞	pɔ⁵³
胞	pɔ⁵³
煲	pɔ⁵³
龅	pɔ⁵³
褒	pɔ⁵³
宝	pɔ²³
饱	pɔ²³
保	pɔ²³
鸨	pɔ²³
堡	pɔ²³
葆	pɔ²³
褓	pɔ²³
报	pɔ³⁴
豹	pɔ³⁴
趵	pɔ³⁴
爆	pɔ³⁴
屄	pi⁵³
匕	pi²³
比	pi²³
妣	pi²³
彼	pi²³
秕	pi²³
俾	pi²³
舭	pi²³
鄙	pi²³
闭	pi³⁴
庇	pi³⁴
畀	pi³⁴
毖	pi³⁴
箅	pi³⁴
蔽	pi³⁴
嬖	pi³⁴
臂	pi³⁴
泌	pi³⁴
祕	pi³⁴
秘	pi³⁴
芘	pi³⁴
波	pu⁵³
玻	pu⁵³
啵	pu⁵³
菠	pu⁵³
播	pu⁵³
跛	pu²³
簸	pu³⁴
逋	pu⁵³
钸	pu⁵³
晡	pu⁵³
补	pu²³
布	pu³⁴
怖	pu³⁴
圃	pu²³
谱	pu²³
搬	pø⁵³
半	pø³⁴
绊	pø³⁴
奔	pən⁵³
贲	pən⁵³
锛	pən⁵³
本	pən²³
苯	pən²³
畚	pən²³
蹦	pən³⁴
扳	pɛ⁵³
班	pɛ⁵³
般	pɛ⁵³
颁	pɛ⁵³
斑	pɛ⁵³
癍	pɛ⁵³
阪	pɛ²³
板	pɛ²³
版	pɛ²³
钣	pɛ²³
舨	pɛ²³
扮	pɛ³⁴
瓣	pɛ³⁴
粑	pa⁵³
钯	pa⁵³
爸	pa⁵³
捭	pa²³
摆	pa²³
拜	pa³⁴
宾	pin⁵³
彬	pin⁵³
傧	pin³⁴
斌	pin⁵³
滨	pin⁵³
缤	pin⁵³
槟	pin⁵³
镔	pin⁵³
濒	pin⁵³
豳	pin⁵³
摈	pin²³
殡	pin³⁴
膑	pin³⁴
鬓	pin³⁴
冫	pin⁵³
冰	pin⁵³
兵	pin⁵³
丙	pin²³
邴	pin²³
秉	pin²³
柄	pin³⁴
炳	pin²³
饼	pin²³
禀	pin²³
并	pin³⁴
摒	pin³⁴
屏	pin⁵³
逼	piɪˀ⁵⁵
笔	piɪˀ⁵⁵
必	piɪˀ⁵⁵
毕	piɪˀ⁵⁵
哔	piɪˀ⁵⁵
荜	piɪˀ⁵⁵
铋	piɪˀ⁵⁵
筚	piɪˀ⁵⁵
滗	piɪˀ⁵⁵
跸	piɪˀ⁵⁵
辟	piɪˀ⁵⁵
碧	piɪˀ⁵⁵
壁	piɪˀ⁵⁵
璧	piɪˀ⁵⁵
襞	piɪˀ⁵⁵
憋	piɪˀ⁵⁵
鳖	piɪˀ⁵⁵
瘪	piɪˀ⁵⁵
北	poˀ⁵⁵
波	poˀ⁵⁵
剥	poˀ⁵⁵
驳	poˀ⁵⁵
博	poˀ⁵⁵
搏	poˀ⁵⁵
膊	poˀ⁵⁵
卜	poˀ⁵⁵
巴	po⁵³
吧	po⁵³
岜	po⁵³
芭	po⁵³
疤	po⁵³
笆	po⁵³
把	po²³
靶	po²³
坝	po³⁴
霸	po³⁴
灞	po³⁴
攀	pʰɛ⁵³
盼	pʰɛ³⁴
鋬	pʰɛ³⁴
襻	pʰɛ³⁴
呸	pʰɛ	
胚	pʰɛ⁵³
醅	pʰɛ⁵³
沛	pʰɛ³⁴
配	pʰɛ³⁴
霈	pʰɛ³⁴
坯	pʰɛ⁵³
拚	pʰø³⁴
番	pʰø⁵³
潘	pʰø⁵³
判	pʰø³⁴
泮	pʰø³⁴
袢	pʰø³⁴
片	pʰi³⁴
偏	pʰi⁵³
犏	pʰi⁵³
篇	pʰi⁵³
翩	pʰi⁵³
骗	pʰi³⁴
醭	pʰoˀ⁵⁵
卟	pʰoˀ⁵⁵
钋	pʰoˀ⁵⁵
攴	pʰoˀ⁵⁵
攵	pʰoˀ⁵⁵
扑	pʰoˀ⁵⁵
噗	pʰoˀ⁵⁵
圤	pʰoˀ⁵⁵
璞	pʰoˀ⁵⁵
濮	pʰoˀ⁵⁵
朴	pʰoˀ⁵⁵
蹼	pʰoˀ⁵⁵
捧	pʰoŋ²³
怕	pʰɔ⁵³
葩	pʰɔ³⁴
喷	pʰəŋ⁵³
坡	pʰu⁵³
颇	pʰu⁵³
叵	pʰu⁵³
钷	pʰu²³
笸	pʰu²³
破	pʰu³⁴
铺	pʰu⁵³
铺	pʰu³⁴
埔	pʰu²³
浦	pʰu²³
普	pʰu²³
溥	pʰu²³
潽	pʰu⁵³
氆	pʰu²³
镨	pʰu²³
磅	pʰɑ̃⁵³
镑	pʰɑ̃⁵³
滂	pʰɑ̃⁵³
髈	pʰɑ̃²³
胖	pʰɑ̃³⁴
哌	pʰa³⁴
派	pʰa³⁴
湃	pʰa³⁴
蒎	pʰa³⁴
破	pʰa³⁴
泊	pʰɑˀ⁵⁵
趴	pʰɑˀ⁵⁵
啪	pʰɑˀ⁵⁵
帕	pʰɑˀ⁵⁵
拍	pʰɑˀ⁵⁵
珀	pʰɑˀ⁵⁵
粕	pʰɑˀ⁵⁵
魄	pʰɑˀ⁵⁵
辟	pʰiɪˀ⁵⁵
劈	pʰiɪˀ⁵⁵
噼	pʰiɪˀ⁵⁵
霹	pʰiɪˀ⁵⁵
匹	pʰiɪˀ⁵⁵
癖	pʰiɪˀ⁵⁵
僻	pʰiɪˀ⁵⁵
氕	pʰiɪˀ⁵⁵
撇	pʰiɪˀ⁵⁵
瞥	pʰiɪˀ⁵⁵
丿	pʰiɪˀ⁵⁵
疋	pʰiɪˀ⁵⁵
姘	pʰin⁵³
拼	pʰin⁵³
品	pʰin²³
榀	pʰin²³
娉	pʰin⁵³
聘	pʰin³⁴
乒	pʰin⁵³
俜	pʰin⁵³
参	sɛ⁵³
三	sɛ⁵³
